CARDID,COMPANYID,CREATEDAT,CURRENCY,ID,ISACTIVE,ISSUERTYPEID,MERCHANTID,STATUSID,UPDATEDAT,USERID,AMOUNT_USD
9dfde958-9957-4dc5-9d8c-6e7d1174bb62,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-10-17 00:18:24.000 +0000,usd,ef03d396-615a-490b-91c2-e1070a7ad560,TRUE,1,8c2820ae-e348-4045-b40a-343c52733e11,1,2021-10-17 20:18:53.837 +0000,e9208d42-cc42-4e31-8f8f-3f20603f7fec,2.549972473
76bc8fff-41ad-40fd-b9b1-b8a54d679ee3,2030d3a6-5063-442a-93ad-2625ad66b2bf,2021-10-30 13:05:09.900 +0000,usd,8aff54a4-28b6-4a74-b627-f5e8d119d8ec,TRUE,3,e2547184-b5f6-4e83-af37-c42ca7114259,1,2021-10-31 05:34:33.453 +0000,6bdf9147-8c57-4fa5-9eff-1842f1be0771,0.8586280564
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-08-24 02:26:15.000 +0000,usd,7a8ee1d3-7c10-40a0-9921-5628c743a020,TRUE,1,5da5a90f-87a1-4f95-a546-0297a351cbd2,1,2021-08-24 16:25:26.290 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,44.37689545
a992b97f-e5d2-4582-8c1e-32930bbc8ead,a7fd84bd-e13c-49c2-9b08-074c3478d168,2021-10-11 17:07:17.837 +0000,usd,395009e8-7063-4d97-ace6-ec6a88fb0227,TRUE,3,0cac0af8-142e-4873-9c95-f77e0d676b5e,1,2021-10-12 05:39:05.130 +0000,befdcfda-8c49-4d9b-9414-2c227931f34e,20.97680311
pmco_5941c0ec-f9c1-4c4f-9157-af44d3b595e1,7bf43bd2-5be3-4958-8aa6-0f91d05c5022,2021-12-02 17:19:27.000 +0000,USD,pmco_3bf620ef-5e8c-44b3-85fd-18ede5d6d63b,TRUE,2,pmco_7735a543-7764-41c3-a303-7b71d0acdf42,1,2021-12-04 07:13:19.823 +0000,c733ab66-2124-4d27-88dc-da946f2e89fd,45.231498964
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-09-30 10:33:50.000 +0000,usd,96b10c99-2991-4f8b-b804-1e9f0eef916e,TRUE,1,e6b44a92-fdb4-4d5d-93a7-c264070eb54b,1,2021-10-01 16:57:16.890 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,101.355926667
a90b0608-00ee-485e-ad89-1c2ece5b1598,4c539af2-d038-4918-b717-f78f5490838d,2021-09-09 18:57:42.137 +0000,usd,864dee31-b1a2-4327-bf16-d9f6f47bb050,TRUE,3,9b16c6d4-a237-472c-b35a-68351e737339,1,2021-10-08 14:32:54.240 +0000,0bfcbdbb-e6ae-461f-8ff1-f3f741983a48,20.107506227
d3ffef49-08d8-4b88-b191-e5650c4feecb,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-02-03 08:06:37.000 +0000,usd,09d98303-7ede-4178-b148-daff1e333b6f,TRUE,1,33732054-d348-4bba-90f4-629572c2ea48,1,2021-02-04 16:30:51.567 +0000,51ad01ee-2d16-4e56-b2eb-28d34c6a41f5,25.886137627
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-01-20 19:00:18.000 +0000,usd,7fe2a144-ffb5-4fff-a9fc-ddaf392001a1,TRUE,1,7ff3eaa5-d308-4b69-8f07-91e9d66b34ff,1,2021-01-21 17:14:57.940 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,409.254853423
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-08-30 03:49:11.000 +0000,usd,0911b40b-7990-435c-8b95-08c2a436069a,TRUE,1,a0d3bc8e-5350-4cfb-a43a-4d5d8e7d06cb,1,2021-08-30 16:27:38.140 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,153.901125606
515f8edd-de49-4fbf-af7b-ae024862f82a,a7fd84bd-e13c-49c2-9b08-074c3478d168,2021-05-25 17:25:06.000 +0000,usd,ad7ca462-b34f-438c-aadb-6abc6cf4b935,TRUE,1,8a4f5261-8883-4b82-8fb9-f7c6e450d248,0,2021-05-25 17:25:11.790 +0000,e65ea6b3-b5c5-46b3-b972-a104795e7472,0.1929715672
b139ca92-cf1a-4069-8c71-c205fee006f3,2030d3a6-5063-442a-93ad-2625ad66b2bf,2022-01-26 14:33:23.000 +0000,usd,8ecc2cfd-7503-4788-8df6-950f94fd8719,TRUE,1,4837a04f-aede-4e71-a665-df0f4c1a0b61,1,2022-01-27 17:08:37.647 +0000,6bdf9147-8c57-4fa5-9eff-1842f1be0771,3.42083736
986b96fc-4acf-475f-bcd8-28628b099291,e1dbfed8-2fe7-4204-aa40-304e6bf6db0b,2021-12-02 23:18:50.000 +0000,usd,f1c48e37-dc9e-4f65-afda-07b0c4f8b283,TRUE,1,e5c79d49-3c16-40f9-93ee-170d297f0f16,1,2021-12-03 19:29:45.137 +0000,f71c4e06-fd1b-4ece-9099-399759198851,0.03122868312
c69ef270-1094-4049-9d22-7b80f0e996f8,7bf43bd2-5be3-4958-8aa6-0f91d05c5022,2021-10-11 05:10:21.000 +0000,usd,ae28e4d4-dc3f-4637-9cdd-68ad2bfeeaf2,TRUE,1,820f41e4-cc83-4e79-9b9b-eff278b21ae9,1,2021-10-12 16:06:24.950 +0000,70bd6228-51a6-43ba-828a-7063c3538a79,1.64790702
8a42f13a-1340-458a-a80a-b083988eead9,4c539af2-d038-4918-b717-f78f5490838d,2021-10-29 23:27:41.547 +0000,usd,18769cb2-a5e6-4e48-934d-69766e728e89,TRUE,3,8c7fe67d-e0a5-45a8-8d8b-321aab3b7584,1,2021-10-30 05:39:09.397 +0000,0bfcbdbb-e6ae-461f-8ff1-f3f741983a48,228.055584116
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-06-23 02:13:33.000 +0000,usd,478b01c9-a80a-4905-b6a8-1ca2fc74b525,TRUE,1,a9f331d6-76a9-42ab-8425-8524fdd9c164,1,2021-06-24 15:34:10.930 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,20.99197567
979f2169-2f71-48ef-b201-151dddaf632f,e1dbfed8-2fe7-4204-aa40-304e6bf6db0b,2021-10-23 16:15:21.000 +0000,usd,0e9a2fb9-0fc5-48c3-b102-b287acd45dd4,TRUE,1,fac6c3d1-94b5-4946-82c6-593435509a28,1,2021-10-24 16:41:04.700 +0000,2d8c8b9a-0347-4a24-9683-629ffe4a0696,46.642959555
00408797-1315-4753-9de6-bb74b5fbbc02,4c539af2-d038-4918-b717-f78f5490838d,2021-09-28 21:21:48.000 +0000,usd,9d8663f5-b0c5-4397-8863-5018478f60cd,TRUE,1,89cabb3a-cacb-4a13-a8c6-0d11981d16b7,1,2021-09-29 16:03:41.153 +0000,0bfcbdbb-e6ae-461f-8ff1-f3f741983a48,2.262192685
2d00b970-ec7c-49ee-aae6-ac7525043a74,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-09-15 06:11:39.000 +0000,usd,6994e192-641d-46ef-afc5-5b9099a8dd78,TRUE,1,880fcf11-33bd-45fb-a9f4-1841b5912d03,1,2021-09-16 18:29:17.380 +0000,46d86c1a-9368-4e38-8c8b-c1593b90cf8f,35.159803692
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2020-12-19 14:54:40.000 +0000,usd,26a9e4ca-1ddc-42ae-ace7-c3ebed0caae9,TRUE,1,27635553-8e45-475d-81f3-d79982bf01cf,1,2020-12-20 16:56:55.403 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,92.946931528
044d6e78-a3d6-46c3-b353-cd498755818a,4c539af2-d038-4918-b717-f78f5490838d,2021-12-15 07:38:53.500 +0000,usd,23056418-9d35-4950-9b8d-07bcb5df0dde,TRUE,3,89c6b6fa-74ff-4aef-9871-2573c631a088,1,2021-12-16 06:39:30.940 +0000,cc7197f7-bdd9-454e-90b8-fa551758d010,37.90576124
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-09-02 02:14:24.000 +0000,usd,a34c18ee-32eb-4840-b39d-4d2f5ee9b942,TRUE,1,cec3a6d0-1763-4438-a0a8-e58cfda507f2,1,2021-09-02 17:49:17.990 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,44.699307093
f5b14541-a6de-4972-8fae-627f5d0ca6b9,4fde2b19-bb01-47c3-9892-368975aa205b,2021-07-02 15:40:28.520 +0000,usd,b1acd430-a53e-42b1-95b1-dee81fe89725,TRUE,3,b95f26f3-4940-4df8-937a-a765f587e5e7,1,2021-07-03 05:32:36.157 +0000,a27846f9-a1c6-451e-a942-68ce895984ae,25.81718314
4b48bbfd-9744-4320-b59f-2e20f5800c9f,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-09-26 08:30:26.000 +0000,usd,0e5058e8-6623-4594-89dd-d0234da25045,TRUE,1,f4292459-da5b-40d2-9612-7dfeffb37373,1,2021-09-27 13:49:40.753 +0000,2cc27249-86da-4fcb-bb7a-102f4a2f14b7,-14.331100714
26811136-b84a-4c3c-9822-b4331e0044a4,a7fd84bd-e13c-49c2-9b08-074c3478d168,2021-06-25 19:32:04.000 +0000,usd,d2a7b585-0eec-4f9d-a60a-60d4c49dfd9c,TRUE,1,38b56ccf-3e42-4209-ad59-33cc2818f84e,1,2021-06-26 15:52:40.950 +0000,befdcfda-8c49-4d9b-9414-2c227931f34e,0.4793368493
5c515b49-bb11-4710-9202-d54c1d902f8e,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-06-06 10:05:05.000 +0000,usd,95f2128e-eda0-4e2d-ac18-18f60ba165f8,TRUE,1,69eac889-b2b5-4778-b6ba-7721caf3a456,1,2021-06-07 14:56:55.267 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,96.364078912
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-05-28 15:32:43.000 +0000,usd,30319dc6-4ed3-440a-81bd-a89eb21c2972,TRUE,1,a9385208-214f-4fa5-aa46-95d9c362372f,1,2021-05-29 15:32:10.277 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,577.050437524
87ce64d0-78ec-4253-b8fc-72c8e0896c6a,e1dbfed8-2fe7-4204-aa40-304e6bf6db0b,2022-01-24 17:14:51.000 +0000,usd,23d31b98-def1-455e-9e64-5f1ee0126b16,TRUE,1,d8dbd510-e61c-4097-b2d5-aa9d6577e51f,1,2022-01-25 16:22:56.667 +0000,b29750e9-2087-4375-ab08-7d323bf31491,78.595626514
979f2169-2f71-48ef-b201-151dddaf632f,e1dbfed8-2fe7-4204-aa40-304e6bf6db0b,2021-06-27 19:40:39.000 +0000,usd,7ec637a8-9d30-40dd-92b7-7da533fbaa19,TRUE,1,6fe11ab1-9b24-4cfc-ad3f-8ad10c5b1d28,3,2021-06-27 19:42:54.430 +0000,2d8c8b9a-0347-4a24-9683-629ffe4a0696,-0
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-07-20 12:37:31.000 +0000,usd,e9423759-e9d6-47ec-adf7-9ad5759ce79a,TRUE,1,7b2f0151-a095-42f6-bf77-a7b03f55408e,1,2021-07-21 15:51:43.920 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,65.341021744
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-06-09 18:31:42.000 +0000,usd,d8f46a3a-e7ef-477b-85d6-acfd41a9dbe8,TRUE,1,569605dd-2f75-438b-943b-3e06b82488d2,1,2021-06-10 15:11:35.150 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,35.350354922
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-04-29 10:36:15.000 +0000,usd,52f8c280-f7a3-4cda-bc5b-755e332d1bce,TRUE,1,6891c8fc-253d-4970-adbb-1726c3bb7907,1,2021-04-30 16:55:12.490 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,35.028615784
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-03-27 15:26:27.000 +0000,usd,46d8b842-e735-4e16-bd5c-ad5680699d85,TRUE,1,5eec4108-caa6-413d-a521-bdf1e9fde333,1,2021-03-28 15:22:05.227 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,3.293010386
08008383-ea6a-4620-bcf0-857d3b8de780,a7fd84bd-e13c-49c2-9b08-074c3478d168,2020-11-19 22:24:03.000 +0000,usd,659ab2c6-d576-49c8-9aa2-7723c623bc02,TRUE,1,889458d7-0637-42ba-acf6-5bab213bd817,3,2020-11-19 22:25:58.040 +0000,befdcfda-8c49-4d9b-9414-2c227931f34e,-0
c1efb184-8280-4270-a200-f3decf95e4d4,7bf43bd2-5be3-4958-8aa6-0f91d05c5022,2021-05-23 17:05:28.000 +0000,usd,8a9b1606-3aa8-430c-b6a8-8c165308fab7,TRUE,1,8d3e3bf9-479d-4453-91bf-4de1e3c0cce1,1,2021-05-26 23:34:51.683 +0000,c733ab66-2124-4d27-88dc-da946f2e89fd,8.197399289
pmco_5941c0ec-f9c1-4c4f-9157-af44d3b595e1,7bf43bd2-5be3-4958-8aa6-0f91d05c5022,2021-11-09 19:53:59.000 +0000,usd,pmco_e2edef57-bd02-412a-a89a-fda63078a302,TRUE,2,pmco_1a3b1a49-a7ad-431b-a6bd-e71c03cb22de,1,2021-11-30 12:37:01.023 +0000,c733ab66-2124-4d27-88dc-da946f2e89fd,1.448147512
4b48bbfd-9744-4320-b59f-2e20f5800c9f,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-10-06 13:46:45.000 +0000,usd,b1db0894-518f-4d09-b6bc-76522139d0de,TRUE,1,52b5dc23-6217-4a7c-8eaf-5b6128753422,1,2021-10-07 15:36:10.123 +0000,2cc27249-86da-4fcb-bb7a-102f4a2f14b7,0.6034560696
f5b14541-a6de-4972-8fae-627f5d0ca6b9,4fde2b19-bb01-47c3-9892-368975aa205b,2021-11-02 02:30:03.867 +0000,usd,840fb5d9-98d9-4a48-98dc-cb2dac6affb5,TRUE,3,900d6b9a-9b3e-4915-a738-716f996fea33,1,2021-11-02 06:40:12.887 +0000,a27846f9-a1c6-451e-a942-68ce895984ae,6.731686344
76bc8fff-41ad-40fd-b9b1-b8a54d679ee3,2030d3a6-5063-442a-93ad-2625ad66b2bf,2021-12-11 21:04:26.460 +0000,usd,0f892e3e-1cb7-451e-b774-bf4f2e0686f5,TRUE,3,a69bc50e-04d6-47fb-b67a-27a3db63d945,1,2021-12-12 06:47:07.270 +0000,6bdf9147-8c57-4fa5-9eff-1842f1be0771,134.608055361
044d6e78-a3d6-46c3-b353-cd498755818a,4c539af2-d038-4918-b717-f78f5490838d,2021-10-23 17:14:16.743 +0000,usd,3642bd4c-39ac-45c8-b3f6-be6cdc0a9d6c,TRUE,3,575525c7-07e3-42fd-8c18-3cd59b697d80,1,2021-10-26 13:50:54.080 +0000,cc7197f7-bdd9-454e-90b8-fa551758d010,0.9451787231
158e23c8-918c-4b61-83e8-983847aff5e0,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2020-11-19 02:19:11.000 +0000,usd,83426f2a-99d0-4022-98d1-07023c4f8734,TRUE,1,8667872e-ab43-43e6-8d2b-07a06648639a,1,2020-11-25 15:37:23.523 +0000,ec3d04ec-aea9-4539-b743-14ec0c2e86e9,-239.583979018
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-03-26 02:23:11.000 +0000,usd,921ef55e-c5a6-490b-9595-01920cc550ab,TRUE,1,e916d621-31ca-434a-8eda-3f77dbbe0331,1,2021-03-26 14:56:34.277 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,528.484133783
8a42f13a-1340-458a-a80a-b083988eead9,4c539af2-d038-4918-b717-f78f5490838d,2021-11-26 01:55:09.377 +0000,usd,3f2836cf-0a72-4886-9314-c9f3daf70d0a,TRUE,3,7edef1bb-de0a-426e-a36e-96f72be3f4f2,1,2021-11-26 07:28:38.027 +0000,0bfcbdbb-e6ae-461f-8ff1-f3f741983a48,68.38059974
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-04-15 13:36:37.000 +0000,usd,a5764b8e-c1c7-4556-9c02-23b4432d04ae,TRUE,1,966e6214-891c-4a39-a4ec-75101b4a899a,1,2021-04-16 16:33:52.447 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,51.098940348
00408797-1315-4753-9de6-bb74b5fbbc02,4c539af2-d038-4918-b717-f78f5490838d,2021-07-28 15:32:06.000 +0000,usd,5edf0c9b-3f69-4c5c-bc2d-4abe596bc72e,TRUE,1,2204a11d-c3ac-4cf8-bf7e-bcd6f926445f,1,2021-07-29 15:28:24.790 +0000,0bfcbdbb-e6ae-461f-8ff1-f3f741983a48,38.912685061
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2022-02-02 05:55:31.000 +0000,usd,cf44389c-0c05-4dd5-992f-8d5dee57604c,TRUE,1,3432f109-1467-4e1f-bee7-644362727fbd,1,2022-02-03 18:44:25.920 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,23.170826128
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-03-24 17:22:27.000 +0000,usd,cd09c7aa-4fb4-4f7b-9f0b-9b5c79026e7c,TRUE,1,70765388-e7a7-4ccb-a308-1c7208d9237a,1,2021-03-25 15:59:45.023 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,7.829559537
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-07-30 15:57:32.000 +0000,usd,b51bb62c-c81b-4e46-ab22-df4f7333c8c9,TRUE,1,be4feeea-bdb4-4538-bd49-873779f7b474,1,2021-07-31 16:09:11.760 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,485.720578691
4b48bbfd-9744-4320-b59f-2e20f5800c9f,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-06-23 08:16:00.000 +0000,usd,aceba50e-2f74-48b2-85a5-4aa8669856bf,TRUE,1,801b26b1-175a-45b8-96b9-094df6142311,1,2021-06-25 15:14:33.420 +0000,2cc27249-86da-4fcb-bb7a-102f4a2f14b7,-0.1683615762
4b48bbfd-9744-4320-b59f-2e20f5800c9f,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-07-08 07:37:56.000 +0000,usd,5672e699-77c7-4b60-b1ef-1fa972ba5c4e,TRUE,1,04b756f6-c498-49a9-995b-b26c1fb4d74e,1,2021-07-09 16:04:24.237 +0000,2cc27249-86da-4fcb-bb7a-102f4a2f14b7,13.786803954
14dd2ca9-49b1-4166-a137-c03b04f17e10,7bf43bd2-5be3-4958-8aa6-0f91d05c5022,2021-10-13 15:15:37.750 +0000,usd,b35ab9b7-02ab-4a0b-97b5-50164376c542,TRUE,3,dc19bcf1-4d44-4536-9863-f2a52c8fc3af,1,2021-10-14 05:37:07.860 +0000,70bd6228-51a6-43ba-828a-7063c3538a79,-0
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2022-02-02 02:19:16.000 +0000,usd,8c7d1bca-59bd-4053-9762-d32d4d2be9b7,TRUE,1,7522d424-e1d0-4af0-add7-67635bcaf5d1,1,2022-02-02 18:59:22.247 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,0.4003076879
9ffd4d50-e9d2-4f6b-87d2-12ca49551423,7bf43bd2-5be3-4958-8aa6-0f91d05c5022,2021-10-19 07:01:38.000 +0000,usd,d3510289-9aed-4de0-a4cc-35e055be203d,TRUE,1,76bc7ff0-267d-48a0-93f2-b3ba6b6baae8,1,2021-10-19 18:28:08.777 +0000,c733ab66-2124-4d27-88dc-da946f2e89fd,4.622070179
3aaacca4-fbfc-4b93-a539-eb389c3bac05,bd6437f0-d5d3-4d38-a678-d2df3edf9201,2021-04-02 15:10:05.000 +0000,usd,95690ece-4153-4e02-8a57-6f5dd32f2f34,TRUE,1,da398dd2-6c08-4064-8e37-6b24e6e8823f,1,2021-04-03 18:22:39.553 +0000,3346af79-f2c4-4b43-b64c-ccc4e7d6dad5,127.06173175
c1efb184-8280-4270-a200-f3decf95e4d4,7bf43bd2-5be3-4958-8aa6-0f91d05c5022,2021-06-20 00:25:40.000 +0000,usd,89ed0ceb-58a9-41fa-aa22-1317144a4c24,TRUE,1,8fbbb360-5ae9-45ca-957a-51c761627ee5,1,2021-06-21 15:21:57.087 +0000,c733ab66-2124-4d27-88dc-da946f2e89fd,8.297776498
